hanja,kor,radical,radical_name,stroke_count,level,rep_pron
嗚,슬플 오,口,입 구,13,30,오
傲,거만할 오,人,사람 인,13,30,오
誤,그르칠 오,言,말씀 언,14,41,오
玉,구슬 옥,玉,구슬 옥,5,41,옥
屋,집 옥,尸,주검 시,9,50,옥
獄,옥 옥,犬,개 견,14,31,옥
溫,따뜻할 온,水,물 수,13,60,온
翁,늙은이 옹,羽,깃 우,10,30,옹
擁,낄 옹,手,손 수,16,30,옹
瓦,기와 와,瓦,기와 와,5,31,와
臥,누울 와,臣,신하 신,8,30,와
完,완전할 완,宀,집 면,7,50,완
緩,느릴 완,糸,실 사|가는실 멱,15,31,완
曰,가로 왈,曰,가로 왈,4,30,왈
王,임금 왕,玉,구슬 옥,4,80,왕
往,갈 왕,彳,조금걸을 척,8,41,왕
外,바깥 외,夕,저녁 석,5,80,외
畏,두려워할 외,田,밭 전,9,30,외
要,요긴할 요,襾,덮을 아,9,51,요
腰,허리 요,肉,고기 육,13,30,요
搖,흔들 요,手,손 수,13,30,요
遙,멀 요,辵,쉬엄쉬엄갈 착,14,30,요
謠,노래 요,言,말씀 언,17,41,요
曜,빛날 요,日,날 일,18,50,요
浴,목욕할 욕,水,물 수,10,50,욕
辱,욕될 욕,辰,별 진|때 신,10,31,욕
欲,하고자할 욕,欠,하품 흠,11,31,욕
慾,욕심 욕,心,마음 심,15,31,욕
用,쓸 용,用,쓸 용,5,61,용
勇,날랠 용,力,힘 력,9,61,용
容,얼굴 용,宀,집 면,10,41,용
庸,떳떳할 용,广,집 엄,11,30,용
又,또 우,又,또 우,2,30,우
于,어조사 우,二,두 이,3,30,우
友,벗 우,又,또 우,4,51,우
牛,소 우,牛,소 우,4,50,우
尤,더욱 우,尢,절름발이 왕,4,30,우
右,오를/오른(쪽) 우,口,입 구,5,71,우
宇,집 우,宀,집 면,6,31,우
羽,깃 우,羽,깃 우,6,31,우
雨,비 우,雨,비 우,8,51,우
偶,짝 우,人,사람 인,11,31,우
郵,우편 우,邑,고을 읍,11,40,우
愚,어리석을 우,心,마음 심,13,31,우
遇,만날 우,辵,쉬엄쉬엄갈 착,13,40,우
憂,근심 우,心,마음 심,15,31,우
優,넉넉할 우,人,사람 인,17,40,우
云,이를 운,二,두 이,4,30,운
雲,구름 운,雨,비 우,12,51,운
運,옮길 운,辵,쉬엄쉬엄갈 착,13,61,운
韻,운 운,音,소리 음,19,31,운
雄,수컷 웅,隹,새 추,12,50,웅
元,으뜸 원,儿,어진사람 인,4,51,원
怨,원망할 원,心,마음 심,9,40,원
原,언덕 원,厂,기슭 한,10,50,원
院,집 원,阜,언덕 부,10,50,원
員,인원 원,口,입 구,10,41,원
援,도울 원,手,손 수,12,40,원
園,동산 원,囗,에워쌀 위|나라 국,13,60,원
源,근원 원,水,물 수,13,40,원
圓,둥글 원,囗,에워쌀 위|나라 국,13,41,원
遠,멀 원,辵,쉬엄쉬엄갈 착,14,60,원
願,원할 원,頁,머리 혈,19,50,원
月,달 월,月,달 월,4,80,월
越,넘을 월,走,달릴 주,12,31,월
危,위태할 위,卩,병부 절,6,40,위
位,자리 위,人,사람 인,7,50,위
委,맡길 위,女,계집 녀,8,40,위
胃,밥통 위,肉,고기 육,9,31,위
威,위엄 위,女,계집 녀,9,40,위
偉,클 위,人,사람 인,11,51,위
圍,에워쌀 위,囗,에워쌀 위|나라 국,12,40,위
爲,하/할 위,爪,손톱 조,12,41,위
違,어긋날 위,辵,쉬엄쉬엄갈 착,13,30,위
僞,거짓 위,人,사람 인,14,31,위
緯,씨 위,糸,실 사|가는실 멱,15,30,위
慰,위로할 위,心,마음 심,15,40,위
衛,지킬 위,行,다닐 행|항렬 항,15,41,위
謂,이를 위,言,말씀 언,16,31,위
由,말미암을 유,田,밭 전,5,60,유
幼,어릴 유,幺,작을 요,5,31,유
有,있을 유,月,달 월,6,70,유
酉,닭 유,酉,닭 유,7,30,유
油,기름 유,水,물 수,8,60,유
乳,젖 유,乙,둘째 천간 을,8,40,유
幽,그윽할 유,幺,작을 요,9,31,유
柔,부드러울 유,木,나무 목,9,31,유
唯,오직 유,口,입 구,11,30,유
惟,생각할 유,心,마음 심,11,30,유
悠,멀 유,心,마음 심,11,31,유
猶,오히려 유,犬,개 견,12,31,유
裕,넉넉할 유,衣,옷 의,12,31,유
愈,나을 유,心,마음 심,13,30,유
遊,놀 유,辵,쉬엄쉬엄갈 착,13,40,유
維,벼리 유,糸,실 사|가는실 멱,14,31,유
誘,꾈 유,言,말씀 언,14,31,유
