hanja,h,k
競,竞,다툴 경
景,日,날 일
景,京,서울 경
境,土,흙 토
境,竟,마침내 경
經,糹,가는 실 멱
經,巠,물줄기 경
警,言,말씀 언
警,敬,공경 경
慶,广,집 엄
慶,𢖻,사랑 애
驚,馬,말 마
驚,敬,공경 경
更,𣄼,어두울 혼
更,㐅,다섯 오
傾,亻,사람인변 인
傾,頃,이랑 경
鏡,金,쇠 금
鏡,竟,마침내 경
頃,頁,머리 혈
頃,匕,비수 비
徑,彳,조금 걸을 척
徑,巠,물줄기 경
硬,石,돌 석
硬,更,고칠 경
耕,耒,가래 뢰(뇌)
耕,井,우물 정
卿,𠂎,-
卿,丶,점 주
卿,即,곧 즉
庚,广,집 엄
庚,尹,성씨 윤
庚,乀,파임 불
竟,音,소리 음
竟,儿,어진 사람 인
界,田,밭 전
界,介,낄 개
計,言,말씀 언
計,十,열 십
係,亻,사람인변 인
係,系,맬 계
階,阝,좌부변 부
階,皆,다 개
鷄,鳥,새 조
鷄,奚,어찌 해
季,子,아들 자
季,禾,벼 화
系,糸,가는 실 멱
系,丿,삐침 별
繼,糹,가는 실 멱
繼,㡭,이을 계
戒,戈,창 과
戒,廾,받들 공
契,大,클 대
契,㓞,교묘히 새길 갈
桂,木,나무 목
桂,圭,서옥 규
啓,𢼄,열 계
啓,口,입 구
溪,氵,삼수변 수
溪,奚,어찌 해
械,木,나무 목
械,戒,경계할 계
繫,𣪠,부딪칠 격
繫,糸,가는 실 멱
癸,癶,등질 발
癸,天,하늘 천
高,亠,돼지해머리 두
高,口,입 구
高,冋,들 경
古,口,입 구
古,十,열 십
苦,艹,초두머리 초
苦,古,옛 고
告,口,입 구
告,牛,소 우
考,耂,늙을로엄 로(노)
考,丂,공교할 교
固,囗,나라 국
固,古,옛 고
故,攵,칠 복
故,古,옛 고
孤,子,아들 자
孤,瓜,오이 과
庫,广,집 엄
庫,車,수레 차
姑,女,여자 녀(여)
姑,古,옛 고
稿,禾,벼 화
稿,高,높을 고
鼓,壴,악기 이름 주
鼓,支,지탱할 지
顧,頁,머리 혈
顧,雇,품 팔 고
枯,木,나무 목
